id;type;start;finish;raison;unit_number;creation_date
1;Construction;2023-07-06T21:15:42;2023-07-06T03:06:28;New;SSL Keyboard Bedfordshire;2023-07-06
2;Construction;2023-07-06T18:31:02;2023-07-06T00:53:45;focus Buckinghamshire Frozen;Cotton Soft cross-media;2023-07-06
3;Emergency;2023-07-06T20:01:08;2023-07-06T16:53:59;Village mobile;Northern;2023-07-06
4;Emergency;2023-07-06T09:46:03;2023-07-06T03:47:57;Bedfordshire;International;2023-07-06
5;Construction;2023-07-06T20:40:36;2023-07-06T15:06:23;Assistant;users;2023-07-06
6;Emergency;2023-07-06T15:38:59;2023-07-06T03:32:37;Consultant Fundamental Bedfordshire;Incredible;2023-07-06
7;Emergency;2023-07-06T20:31:32;2023-07-06T00:46:20;time-frame;Engineer back-end Cotton;2023-07-06
8;Emergency;2023-07-06T00:46:53;2023-07-06T14:11:58;SMTP;Ball Ergonomic Reduced;2023-07-06
9;Construction;2023-07-06T12:47:26;2023-07-06T18:37:58;Denar Manat;navigating;2023-07-06
10;Construction;2023-07-06T03:00:47;2023-07-06T11:20:19;static reintermediate;Balanced Computers application;2023-07-06
